B001227,OTHER SERVICES,10230.0
B001227,PERSONNEL COMPENSATION,258510.44999999992
B001227,PRINTING AND REPRODUCTION,1337.38
B001227,"RENT, COMMUNICATION, UTILITIES",21151.72
B001227,SUPPLIES AND MATERIALS,1927.8200000000004
B001227,TRAVEL,643.85
B001243,EQUIPMENT,97.19999999999999
B001243,FRANKED MAIL,16.61000000000002
B001243,OTHER SERVICES,8995.0
B001243,PERSONNEL COMPENSATION,241951.66999999998
B001243,PRINTING AND REPRODUCTION,2716.28
B001243,"RENT, COMMUNICATION, UTILITIES",10811.120000000003
B001243,SUPPLIES AND MATERIALS,5670.8499999999985
B001243,TRAVEL,11976.320000000005
B001245,EQUIPMENT,-5913.449999999999
B001245,FRANKED MAIL,238.26000000000002
B001245,OTHER SERVICES,10965.0
B001245,PERSONNEL COMPENSATION,183520.0
B001245,PRINTING AND REPRODUCTION,310.65
B001245,"RENT, COMMUNICATION, UTILITIES",44548.49999999999
B001245,SUPPLIES AND MATERIALS,9867.83
B001245,TRAVEL,53251.600000000006
B001248,EQUIPMENT,739.53
B001248,FRANKED MAIL,917.07
B001248,OTHER SERVICES,28145.0
B001248,PERSONNEL COMPENSATION,224349.87000000005
B001248,PRINTING AND REPRODUCTION,197.08999999999997
B001248,"RENT, COMMUNICATION, UTILITIES",14770.710000000003
B001248,SUPPLIES AND MATERIALS,4048.67
B001248,TRAVEL,8566.800000000003
B001250,EQUIPMENT,1624.5800000000002
B001250,FRANKED MAIL,452.8
B001250,OTHER SERVICES,9751.580000000002
B001250,PERSONNEL COMPENSATION,255556.65
B001250,PRINTING AND REPRODUCTION,162.44
B001250,"RENT, COMMUNICATION, UTILITIES",13870.660000000002
B001250,SUPPLIES AND MATERIALS,2444.2900000000004
B001250,TRAVEL,23652.709999999995
B001251,EQUIPMENT,553.02
B001251,FRANKED MAIL,440.49
B001251,OTHER SERVICES,6697.05
B001251,PERSONNEL COMPENSATION,222433.18000000005
B001251,PRINTING AND REPRODUCTION,392.79999999999995
B001251,"RENT, COMMUNICATION, UTILITIES",25695.670000000006
B001251,SUPPLIES AND MATERIALS,19030.590000000004
B001251,TRAVEL,10578.520000000004
B001255,EQUIPMENT,715.9
B001255,FRANKED MAIL,5912.27
B001255,OTHER SERVICES,8365.099999999999
B001255,PERSONNEL COMPENSATION,236445.8
B001255,PRINTING AND REPRODUCTION,3630.15
B001255,"RENT, COMMUNICATION, UTILITIES",26219.41
B001255,SUPPLIES AND MATERIALS,2723.2999999999997
B001255,TRAVEL,5666.359999999999
B001257,EQUIPMENT,1155.18
B001257,FRANKED MAIL,17369.620000000003
B001257,OTHER SERVICES,11165.5
B001257,PERSONNEL COMPENSATION,223986.70999999996
B001257,PRINTING AND REPRODUCTION,11969.810000000001
B001257,"RENT, COMMUNICATION, UTILITIES",26145.519999999997
B001257,SUPPLIES AND MATERIALS,280.0100000000001
B001257,TRAVEL,12508.690000000002
B001260,EQUIPMENT,11425.76
B001260,FRANKED MAIL,27734.34
B001260,OTHER SERVICES,27754.0
B001260,PERSONNEL COMPENSATION,231816.47999999998
B001260,PRINTING AND REPRODUCTION,21234.08
B001260,"RENT, COMMUNICATION, UTILITIES",22615.3
B001260,SUPPLIES AND MATERIALS,15255.59
B001260,TRAVEL,8805.189999999999
B001269,EQUIPMENT,2160.08
B001269,FRANKED MAIL,3161.8199999999997
B001269,OTHER SERVICES,11724.81
B001269,PERSONNEL COMPENSATION,274343.79
B001269,PRINTING AND REPRODUCTION,376.20000000000005
B001269,"RENT, COMMUNICATION, UTILITIES",29298.950000000004
B001269,SUPPLIES AND MATERIALS,12259.650000000001
B001269,TRAVEL,7598.249999999999
B001270,EQUIPMENT,935.0
B001270,FRANKED MAIL,13628.859999999999
B001270,OTHER SERVICES,6988.68
B001270,PERSONNEL COMPENSATION,252238.86
B001270,PRINTING AND REPRODUCTION,4588.3
B001270,"RENT, COMMUNICATION, UTILITIES",45286.81999999999
B001270,SUPPLIES AND MATERIALS,39468.25999999999
B001270,TRAVEL,23564.22
B001271,EQUIPMENT,1095.51
B001271,FRANKED MAIL,657.56
B001271,OTHER SERVICES,17111.68
B001271,PERSONNEL COMPENSATION,222477.76999999996
B001271,PRINTING AND REPRODUCTION,268.0
B001271,"RENT, COMMUNICATION, UTILITIES",24915.83
B001271,SUPPLIES AND MATERIALS,2548.1800000000003
B001271,TRAVEL,13449.990000000002
B001273,EQUIPMENT,19644.96
B001273,FRANKED MAIL,21157.57
B001273,OTHER SERVICES,25035.0
B001273,PERSONNEL COMPENSATION,189249.74999999994
B001273,PRINTING AND REPRODUCTION,28206.54
B001273,"RENT, COMMUNICATION, UTILITIES",16916.409999999996
B001273,SUPPLIES AND MATERIALS,808.15
B001273,TRAVEL,13510.65
B001274,FRANKED MAIL,411.6
B001274,OTHER SERVICES,8200.0
B001274,PERSONNEL COMPENSATION,214589.82000000004
B001274,PRINTING AND REPRODUCTION,1419.84
B001274,"RENT, COMMUNICATION, UTILITIES",17358.46
B001274,SUPPLIES AND MATERIALS,8669.079999999998
B001274,TRAVEL,8467.449999999997
B001275,EQUIPMENT,1500.0
B001275,FRANKED MAIL,9415.999999999998
B001275,OTHER SERVICES,28423.0
B001275,PERSONNEL COMPENSATION,187965.7800000001
B001275,PRINTING AND REPRODUCTION,11608.460000000001
B001275,"RENT, COMMUNICATION, UTILITIES",20813.120000000006
B001275,SUPPLIES AND MATERIALS,13633.499999999998
B001275,TRAVEL,16895.629999999997
B001278,EQUIPMENT,1699.37
B001278,FRANKED MAIL,452.96999999999997
B001278,OTHER SERVICES,5655.0
B001278,PERSONNEL COMPENSATION,276668.05999999994
B001278,PRINTING AND REPRODUCTION,54.75
B001278,"RENT, COMMUNICATION, UTILITIES",28730.04
B001278,SUPPLIES AND MATERIALS,4904.450000000001
B001278,TRAVEL,21730.239999999987
B001281,EQUIPMENT,301.5
B001281,FRANKED MAIL,3989.62
B001281,OTHER SERVICES,5599.38
B001281,PERSONNEL COMPENSATION,217613.41999999998
B001281,PRINTING AND REPRODUCTION,9118.220000000001
B001281,"RENT, COMMUNICATION, UTILITIES",35115.18
B001281,SUPPLIES AND MATERIALS,9545.210000000001
B001281,TRAVEL,3955.670000000001
B001282,EQUIPMENT,1780.82
B001282,FRANKED MAIL,50038.96
B001282,OTHER SERVICES,23628.0
B001282,PERSONNEL COMPENSATION,208020.55000000008
B001282,PRINTING AND REPRODUCTION,49753.21
B001282,"RENT, COMMUNICATION, UTILITIES",24659.759999999995
B001282,SUPPLIES AND MATERIALS,943.3699999999999
B001282,TRAVEL,10273.439999999999
B001283,EQUIPMENT,2744.16
B001283,FRANKED MAIL,656.52
B001283,OTHER SERVICES,7076.359999999999
B001283,PERSONNEL COMPENSATION,230829.15
B001283,PRINTING AND REPRODUCTION,3727.71
B001283,"RENT, COMMUNICATION, UTILITIES",21141.97
B001283,SUPPLIES AND MATERIALS,6742.420000000001
B001283,TRAVEL,8848.390000000003
B001284,EQUIPMENT,9467.0
B001284,FRANKED MAIL,64074.47
B001284,OTHER SERVICES,25035.0
B001284,PERSONNEL COMPENSATION,205422.19000000006
B001284,PRINTING AND REPRODUCTION,25136.440000000002
B001284,"RENT, COMMUNICATION, UTILITIES",15592.77
B001284,SUPPLIES AND MATERIALS,20193.32
B001284,TRAVEL,6987.420000000003
B001285,EQUIPMENT,2866.35
B001285,FRANKED MAIL,49358.04000000001
B001285,OTHER SERVICES,9900.0
B001285,PERSONNEL COMPENSATION,245418.11
B001285,PRINTING AND REPRODUCTION,66856.15
B001285,"RENT, COMMUNICATION, UTILITIES",16766.7
B001285,SUPPLIES AND MATERIALS,4653.65
B001285,TRAVEL,9658.99
B001286,EQUIPMENT,3952.67
B001286,FRANKED MAIL,8774.49
B001286,OTHER SERVICES,15435.0
B001286,PERSONNEL COMPENSATION,211683.32000000007
B001286,PRINTING AND REPRODUCTION,16024.17
B001286,"RENT, COMMUNICATION, UTILITIES",18338.35
B001286,SUPPLIES AND MATERIALS,8619.71
B001286,TRAVEL,19369.260000000002
B001287,EQUIPMENT,1420.83
B001287,FRANKED MAIL,18071.0
B001287,OTHER SERVICES,5355.0
B001287,PERSONNEL COMPENSATION,206069.45000000004
B001287,PRINTING AND REPRODUCTION,25509.870000000003
B001287,"RENT, COMMUNICATION, UTILITIES",24858.730000000003
B001287,SUPPLIES AND MATERIALS,4316.53
B001287,TRAVEL,7950.669999999999
B001289,EQUIPMENT,411.0
B001289,FRANKED MAIL,5119.95
B001289,OTHER SERVICES,6334.18
B001289,PERSONNEL COMPENSATION,217000.0
B001289,PRINTING AND REPRODUCTION,736.27
B001289,"RENT, COMMUNICATION, UTILITIES",30189.15
B001289,SUPPLIES AND MATERIALS,11142.859999999997
B001289,TRAVEL,13534.430000000002
B001290,EQUIPMENT,5349.22
B001290,FRANKED MAIL,14584.52
B001290,OTHER SERVICES,20387.0
B001290,PERSONNEL COMPENSATION,200467.45000000004
B001290,PRINTING AND REPRODUCTION,19386.03
B001290,"RENT, COMMUNICATION, UTILITIES",27984.499999999996
B001290,SUPPLIES AND MATERIALS,2613.2700000000004
B001290,TRAVEL,905.1500000000001
B001291,EQUIPMENT,2493.85
B001291,FRANKED MAIL,2190.56
B001291,OTHER SERVICES,10937.5
B001291,PERSONNEL COMPENSATION,205987.74999999994
B001291,PRINTING AND REPRODUCTION,1076.72
B001291,"RENT, COMMUNICATION, UTILITIES",9632.22
B001291,SUPPLIES AND MATERIALS,11598.029999999997
B001291,TRAVEL,12835.470000000005
B001292,EQUIPMENT,28060.68
B001292,FRANKED MAIL,29929.68
B001292,OTHER SERVICES,5460.0
B001292,PERSONNEL COMPENSATION,199583.91999999995
B001292,PRINTING AND REPRODUCTION,17060.94
B001292,"RENT, COMMUNICATION, UTILITIES",21344.549999999992
B001292,SUPPLIES AND MATERIALS,1646.5399999999997
B001292,TRAVEL,399.79999999999995
B001293,EQUIPMENT,7129.9400000000005
B001293,FRANKED MAIL,19507.24
B001293,OTHER SERVICES,25522.5
B001293,PERSONNEL COMPENSATION,193301.33000000002
B001293,PRINTING AND REPRODUCTION,17852.55
B001293,"RENT, COMMUNICATION, UTILITIES",21747.690000000002
B001293,SUPPLIES AND MATERIALS,4781.969999999999
B001293,TRAVEL,25616.800000000003
B001294,EQUIPMENT,2746.8299999999995
B001294,FRANKED MAIL,75034.85
B001294,OTHER SERVICES,5507.0
B001294,PERSONNEL COMPENSATION,129761.65
B001294,PRINTING AND REPRODUCTION,67967.47
B001294,"RENT, COMMUNICATION, UTILITIES",13582.079999999998
B001294,SUPPLIES AND MATERIALS,15307.429999999998
B001294,TRAVEL,18971.91999999999
B001295,EQUIPMENT,1414.59
B001295,FRANKED MAIL,12430.0
B001295,OTHER SERVICES,24258.0
B001295,PERSONNEL COMPENSATION,188405.54000000007
B001295,PRINTING AND REPRODUCTION,23310.22
B001295,"RENT, COMMUNICATION, UTILITIES",17202.230000000007
B001295,SUPPLIES AND MATERIALS,3390.5299999999993
B001295,TRAVEL,9948.870000000003
B001296,EQUIPMENT,17120.079999999998
B001296,FRANKED MAIL,24539.88
B001296,OTHER SERVICES,25035.0
B001296,PERSONNEL COMPENSATION,233884.14999999997
B001296,PRINTING AND REPRODUCTION,19988.23
B001296,"RENT, COMMUNICATION, UTILITIES",37284.64
B001296,SUPPLIES AND MATERIALS,23210.829999999998
B001296,TRAVEL,2734.6
B001297,EQUIPMENT,1352.6999999999998
B001297,FRANKED MAIL,241.28
B001297,OTHER SERVICES,21810.0
B001297,PERSONNEL COMPENSATION,173888.87000000002
B001297,PRINTING AND REPRODUCTION,12719.810000000001
B001297,"RENT, COMMUNICATION, UTILITIES",19156.17
B001297,SUPPLIES AND MATERIALS,3319.63
B001297,TRAVEL,13243.970000000005
C000059,EQUIPMENT,10961.4
C000059,FRANKED MAIL,13455.46
C000059,OTHER SERVICES,26140.59
C000059,PERSONNEL COMPENSATION,211762.16999999998
C000059,PRINTING AND REPRODUCTION,45085.56
C000059,"RENT, COMMUNICATION, UTILITIES",25862.729999999992
C000059,SUPPLIES AND MATERIALS,9953.529999999997
C000059,TRAVEL,15541.810000000005
C000266,EQUIPMENT,1454.5
C000266,FRANKED MAIL,375.94
C000266,OTHER SERVICES,21404.47
C000266,PERSONNEL COMPENSATION,210256.33999999997
C000266,PRINTING AND REPRODUCTION,1492.93
C000266,"RENT, COMMUNICATION, UTILITIES",23939.75
C000266,SUPPLIES AND MATERIALS,5585.97
C000266,TRAVEL,8463.38
C000537,EQUIPMENT,1458.0
C000537,FRANKED MAIL,3099.18
C000537,OTHER SERVICES,10500.0
C000537,PERSONNEL COMPENSATION,215996.85
C000537,PRINTING AND REPRODUCTION,2680.85
C000537,"RENT, COMMUNICATION, UTILITIES",31557.299999999992
C000537,SUPPLIES AND MATERIALS,15682.679999999998
C000537,TRAVEL,13172.72
C000714,EQUIPMENT,2184.96
C000714,FRANKED MAIL,107.34
C000714,OTHER SERVICES,10309.170000000002
C000714,PERSONNEL COMPENSATION,296495.57999999996
C000714,PRINTING AND REPRODUCTION,1772.3
C000714,"RENT, COMMUNICATION, UTILITIES",46505.54
C000714,SUPPLIES AND MATERIALS,10585.249999999998
C000714,TRAVEL,6671.25
C000754,EQUIPMENT,1695.0
C000754,FRANKED MAIL,289.69
C000754,OTHER SERVICES,12145.699999999999
C000754,PERSONNEL COMPENSATION,255732.27999999988
C000754,PRINTING AND REPRODUCTION,159.28
C000754,"RENT, COMMUNICATION, UTILITIES",18508.690000000002
C000754,SUPPLIES AND MATERIALS,3442.4799999999996
C000754,TRAVEL,8762.560000000001
C000984,EQUIPMENT,630.0
C000984,FRANKED MAIL,1702.43
C000984,OTHER SERVICES,9853.23
C000984,PERSONNEL COMPENSATION,246651.83000000002
C000984,PRINTING AND REPRODUCTION,1424.23
C000984,"RENT, COMMUNICATION, UTILITIES",35818.200000000004
C000984,SUPPLIES AND MATERIALS,13333.029999999999
C000984,TRAVEL,1108.2099999999998
C001036,EQUIPMENT,1303.11
C001036,FRANKED MAIL,266.14000000000004
C001036,OTHER SERVICES,5985.320000000001
